optimizer: D:\EDA\ICCAD2\FloorSet\iccad2026contest\sol\eazyver2\my_optimizer_mib_square.py
tests: 100
feasible: 100
plain_avg_cost: 2.494253
contest_total_score: 3.411365
delta(total - mean): 0.917112

Per-case:
test_id blocks feasible cost norm_weight weighted_contrib hpwl_gap area_gap v_rel
 99 120 1   3.524618   0.63212056     2.22798380  1.102338  0.383202  0.089552
 98 119 1   3.520642   0.23254416     0.81870480  1.216838  0.264202  0.115385
 97 118 1   2.517650   0.08554821     0.21538045  1.157162  0.192109  0.166667
 96 117 1   2.731765   0.03147143     0.08597255  1.101185  0.252847  0.092308
 95 116 1   3.586980   0.01157769     0.04152895  1.217712  0.288718  0.075758
 94 115 1   3.073722   0.00425919     0.01309158  1.108862  0.157579  0.076923
 93 114 1   3.591555   0.00156687     0.00562750  1.054258  0.122780  0.193548
 92 113 1   3.683576   0.00057642     0.00212328  1.514984  0.192097  0.107143
 91 112 1   1.799025   0.00021205     0.00038149  0.673038  0.157538  0.120690
 90 111 1   4.077005   0.00007801     0.00031805  1.183291  0.361198  0.151515
 89 110 1   5.527731   0.00002870     0.00015864  1.274455  0.550822  0.207547
 88 109 1   7.023254   0.00001056     0.00007415  1.257207  0.333231  0.238095
 87 108 1   3.155367   0.00000388     0.00001226  1.090228  0.204792  0.162791
 86 107 1   3.400235   0.00000143     0.00000486  1.000194  0.178992  0.163636
 85 106 1   2.959539   0.00000053     0.00000156  1.010854  0.166083  0.140625
 84 105 1   3.250491   0.00000019     0.00000063  1.384741  0.211421  0.145161
 83 104 1   3.065357   0.00000007     0.00000022  1.280421  0.261956  0.127273
 82 103 1   2.469780   0.00000003     0.00000006  1.096869  0.167533  0.101695
 81 102 1   1.881364   0.00000001     0.00000002  1.031574  0.135253  0.086207
 80 101 1   3.325681   0.00000000     0.00000001  0.856235  0.139449  0.142857
 79 100 1   4.454728   0.00000000     0.00000001  0.996342  0.489741  0.109091
 78  99 1   2.450772   0.00000000     0.00000000  1.027880  0.078955  0.147541
 77  98 1   2.325512   0.00000000     0.00000000  0.830406  0.087676  0.132075
 76  97 1   4.557096   0.00000000     0.00000000  1.133835  0.272324  0.186441
 75  96 1   3.764206   0.00000000     0.00000000  1.058714  0.101092  0.172414
 74  95 1   2.969296   0.00000000     0.00000000  1.051279  0.190268  0.136364
 73  94 1   3.041941   0.00000000     0.00000000  1.252171  0.126438  0.178571
 72  93 1   2.237643   0.00000000     0.00000000  1.043905  0.204070  0.157895
 70  91 1   7.223068   0.00000000     0.00000000  1.460158  0.611915  0.237288
 71  92 1   1.991639   0.00000000     0.00000000  1.120896  0.212619  0.058824
 69  90 1   3.510979   0.00000000     0.00000000  1.276056  0.580880  0.153846
 68  89 1   3.189033   0.00000000     0.00000000  1.206532  0.590459  0.173077
 67  88 1   2.799757   0.00000000     0.00000000  1.591081  0.161456  0.196078
 66  87 1   2.004662   0.00000000     0.00000000  1.233519  0.383863  0.080000
 65  86 1   2.877003   0.00000000     0.00000000  1.012291  0.140633  0.277778
 64  85 1   3.162758   0.00000000     0.00000000  0.953636  0.480147  0.232143
 63  84 1   3.649119   0.00000000     0.00000000  1.088098  0.528425  0.170213
 62  83 1   3.597078   0.00000000     0.00000000  0.869301  0.201535  0.169811
 61  82 1   3.815638   0.00000000     0.00000000  1.251572  0.424883  0.173913
 60  81 1   1.560311   0.00000000     0.00000000  0.687557  0.164734  0.159091
 59  80 1   3.626328   0.00000000     0.00000000  0.765750  0.208577  0.244898
 58  79 1   2.457948   0.00000000     0.00000000  1.327343  0.038770  0.142857
